local time,activity,activity id,source activity,duration(s),elapsed time(s),distance(m),calories(kcal),steps,avg speed(m/s),max speed(m/s),avg heartrate,max heartrate,avg cadence,max cadence,avg power,max power,has GPS,min elevation(m),max elevation(m),elevationgain(m),elevationloss(m)
11/4/2021 20:30,Treadmill Running,106,Indoor Running,1923.32,1923.32,2253.68,288,2768,1.17,2.36,112,138,63,175,0,0,0,0,0,0,0
11/3/2021 21:57,Other,1000,Other,1607,1607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/2/2021 20:12,Treadmill Running,106,Indoor Running,1547.72,1547.72,2724.71,317,3300,1.76,2.34,139,153,70,163,0,0,0,0,0,0,0
11/1/2021 19:32,Treadmill Running,106,Indoor Running,1680.52,1680.52,2849.78,349,3501,1.7,2.4,136,154,63,186,0,0,0,0,0,0,0
10/28/2021 20:04,Treadmill Running,106,Indoor Running,1728.66,1728.66,2074.83,239,2585,1.2,2.23,113,131,57,129,0,0,0,0,0,0,0
10/27/2021 19:27,Treadmill Running,106,Indoor Running,2090.61,2090.61,2791.82,319,4687,1.34,2.42,122,148,47,104,0,0,0,0,0,0,0
10/26/2021 16:41,Treadmill Running,106,Indoor Running,1552.61,1552.61,2308.93,268,3090,1.49,2.45,110,152,50,105,0,0,0,0,0,0,0
10/25/2021 19:17,Treadmill Running,106,Indoor Running,2333.41,2333.41,3036.46,376,3708,1.3,2.4,123,150,62,112,0,0,0,0,0,0,0
10/21/2021 19:41,Treadmill Running,106,Indoor Running,2238.32,2238.32,2435.91,341,3098,1.09,2.59,124,154,57,140,0,0,0,0,0,0,0
10/19/2021 19:39,Treadmill Running,106,Indoor Running,1410.43,1410.43,2052.4,267,2468,1.46,3.39,132,152,65,156,0,0,0,0,0,0,0
10/18/2021 21:43,Treadmill Running,106,Indoor Running,1831.12,1831.12,2563.3,320,3235,1.4,2.31,127,145,59,98,0,0,0,0,0,0,0
10/13/2021 19:03,Treadmill Running,106,Indoor Running,1746.95,1746.95,1385.35,204,1876,0.79,2.06,123,132,44,141,0,0,0,0,0,0,0
10/6/2021 20:04,Treadmill Running,106,Indoor Running,1203.93,1203.93,1514.22,196,1844,1.26,2.53,120,152,67,141,0,0,0,0,0,0,0
10/4/2021 19:44,Treadmill Running,106,Indoor Running,2005.88,2005.88,2982.86,372,3688,1.49,2.39,127,155,64,105,0,0,0,0,0,0,0
9/28/2021 20:13,Treadmill Running,106,Indoor Running,1522.33,1522.33,2086.25,247,2994,1.37,2.37,116,142,48,140,0,0,0,0,0,0,0
9/27/2021 19:50,Treadmill Running,106,Indoor Running,1695.93,1699.94,2259.47,319,2848,1.33,2.53,133,160,58,117,0,0,0,0,0,0,0
9/23/2021 19:24,Treadmill Running,106,Indoor Running,1419.11,1419.11,1942.12,241,2362,1.37,2.42,115,145,64,164,0,0,0,0,0,0,0
9/22/2021 19:31,Treadmill Running,106,Indoor Running,1607.69,1607.69,2216.64,260,2684,1.38,2.41,122,147,64,140,0,0,0,0,0,0,0
9/21/2021 19:16,Treadmill Running,106,Indoor Running,1995.94,1995.94,3333.73,376,4557,1.67,2.43,128,153,65,140,0,0,0,0,0,0,0
9/20/2021 19:46,Treadmill Running,106,Indoor Running,2440.43,2440.43,3392.51,456,4224,1.39,2.31,127,153,60,140,0,0,0,0,0,0,0
9/17/2021 15:40,Treadmill Running,106,Indoor Running,1568.5,1568.5,3117.74,362,3722,1.99,2.42,142,151,71,114,0,0,0,0,0,0,0
9/16/2021 20:34,Treadmill Running,106,Indoor Running,1605,1605,2382.27,295,2963,1.48,2.36,132,153,68,136,0,0,0,0,0,0,0
9/14/2021 20:03,Treadmill Running,106,Indoor Running,2139.95,2139.95,3238.95,420,4015,1.51,2.41,136,153,66,152,0,0,0,0,0,0,0
9/14/2021 20:02,Treadmill Running,106,Indoor Running,2226.38,2227.2,3255.16,425,4108,1.46,2.31,116,122,65,136,0,0,0,0,0,0,0
9/13/2021 19:55,Treadmill Running,106,Indoor Running,2130.42,2130.42,3454.83,414,4154,1.62,2.62,137,157,68,164,0,0,0,0,0,0,0
9/13/2021 19:55,Other,1000,Other,2120,2120,0,0,0,0,0,137,157,0,0,0,0,0,0,0,0,0
9/10/2021 15:10,Treadmill Running,106,Indoor Running,1585.78,2029.2,2637.54,320,3107,1.66,2.44,132,153,69,164,0,0,0,0,0,0,0
9/9/2021 20:18,Treadmill Running,106,Indoor Running,2241.11,2241.11,3437.51,423,4542,1.53,2.39,138,160,62,128,0,0,0,0,0,0,0
9/8/2021 19:33,Treadmill Running,106,Indoor Running,2640.13,2640.13,4023.17,490,4852,1.52,2.41,132,163,69,282,0,0,0,0,0,0,0
9/3/2021 14:31,Treadmill Running,106,Indoor Running,1482.33,1482.33,2708.85,308,3113,1.83,2.44,149,156,73,94,0,0,0,0,0,0,0
9/2/2021 22:33,Treadmill Running,106,Indoor Running,1828.62,1828.62,2120.63,295,2515,1.16,2.34,121,151,66,140,0,0,0,0,0,0,0
9/2/2021 22:06,Treadmill Running,106,Indoor Running,565.57,565.57,48.67,31,67,0.09,4.24,74,108,82,187,0,0,0,0,0,0,0
8/31/2021 19:54,Other,1000,Other,2548,2548,0,0,0,0,0,135,160,0,0,0,0,0,0,0,0,0
8/31/2021 19:54,Treadmill Running,106,Indoor Running,2631.79,2631.79,3670.56,460,4341,1.39,2.41,135,160,72,211,0,0,0,0,0,0,0
8/30/2021 19:59,Treadmill Running,106,Indoor Running,2707.34,2707.34,3170.09,309,3765,1.17,2.38,128,160,67,140,0,0,0,0,0,0,0
8/28/2021 19:35,Treadmill Running,106,Indoor Running,2556.25,2556.25,2914.67,279,3786,1.14,2.39,118,147,59,176,0,0,0,0,0,0,0
8/26/2021 19:37,Treadmill Running,106,Indoor Running,2390.5,2390.5,3034.07,257,4460,1.27,2.35,121,153,50,140,0,0,0,0,0,0,0
8/23/2021 20:38,Treadmill Running,106,Indoor Running,2043.61,2043.61,2580.45,223,3126,1.26,2.43,121,159,64,116,0,0,0,0,0,0,0
8/23/2021 18:15,Treadmill Running,106,Indoor Running,639.33,639.33,890.66,74,1057,1.39,2.43,122,147,67,117,0,0,0,0,0,0,0
8/20/2021 19:48,Running,100,Running,1803.29,1803.29,2158.11,169,2666,1.2,2.83,110,118,51,132,0,0,1,249,253,4,4
8/19/2021 19:43,Running,100,Running,1429.31,1429.31,2321.26,166,2798,1.62,2.7,114,151,59,85,0,0,1,248,254,2,11
8/17/2021 20:14,Running,100,Running,2050.65,2050.65,2457.98,157,3067,1.2,2.78,101,110,50,164,0,0,1,248,254,2,10
8/8/2021 20:06,Running,100,Running,1990.13,1990.13,2188.9,165,2913,1.1,1.93,105,146,48,139,0,0,1,249,253,6,7
6/7/2021 19:54,Running,100,Running,1886.65,1886.65,2926.76,191,3472,1.55,3.74,107,115,56,94,0,0,1,249,254,2,8
5/25/2021 17:21,Running,100,Running,1136.19,1136.19,1924.34,144,3340,1.69,3.41,123,160,58,121,0,0,1,243,253,11,16
5/20/2021 16:42,Cycling,500,Cycling,1500.54,1500.54,3298.74,105,0,2.2,7.22,117,140,0,0,0,0,1,241,256,17,39
5/17/2021 17:14,Walking,200,Walking,2130.44,2130.44,3241.4,214,3392,1.52,2.02,108,117,46,57,0,0,1,242,255,17,12
5/10/2021 17:16,Running,100,Running,1538.16,1538.16,2728.3,192,3210,1.77,2.82,124,156,63,82,0,0,1,249,254,5,9
5/5/2021 20:18,Running,100,Running,1462.89,1462.89,2406.28,173,2791,1.64,5.3,114,125,64,93,0,0,1,249,253,8,6
5/3/2021 19:40,Running,100,Running,1547.92,1547.92,2405.11,176,2804,1.55,3.02,117,158,56,117,0,0,1,249,254,2,5
4/13/2021 17:58,Running,100,Running,2063.14,2063.14,3324.95,264,3971,1.61,3.19,124,161,58,137,0,0,1,242,253,20,22
10/27/2020 21:20,Running,100,running,2281.62,2311,3578.06,319,4008,1.57,4.47,0,0,0,0,0,0,1,-5,46,25,29
10/18/2020 9:54,Running,100,running,1666.41,1676,2312.26,202,2798,1.39,4.3,0,0,0,0,0,0,1,-20,50,10,31
9/15/2020 20:56,Running,100,running,1888.05,1910,3513.98,347,3896,1.86,10.29,0,0,0,0,0,0,1,-23,-4,16,16
2/3/2018 15:39,Running,100,running,2321.69,2327,4379.87,439,5148,1.89,3.21,0,0,0,0,0,0,1,124,185,75,79
1/30/2018 18:23,Running,100,running,2012.78,2016,3711.21,374,4282,1.84,4.11,0,0,0,0,0,0,1,123,180,47,52
1/28/2018 16:05,Running,100,running,3125.36,3130,5630.73,526,6426,1.8,3.72,0,0,0,0,0,0,1,125,177,97,90
1/23/2018 18:11,Running,100,running,2540.34,2542,4153.12,395,5168,1.63,5.32,0,0,0,0,0,0,1,127,192,68,89
